Record Id,Account Owner.id,Rating,Account Name,Phone,Fax,Parent Account.id,Website,Ticker Symbol,Account Type,Ownership,Industry,Employees,Annual Revenue,SIC Code,Created By.id,Modified By.id,Created Time,Modified Time,Currency,Exchange Rate,Last Activity Time,Billing Street,Shipping Street,Billing City,Shipping City,Billing State,Shipping State,Billing Code,Shipping Code,Billing Country,Shipping Country,Description,Layout.id,Account Number,Account Site,Score,Positive Score,Negative Score,Positive Touch Point Score,Touch Point Score,Negative Touch Point Score,Tag,Account Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Territories,Average monthly income,Expected retirement income,Pick List 1,Change Log Time,Dropbox Folder ID,Account Image,Locked,Last Enriched Time,Enrich Status,Record Status
zcrm_318358000001400003,zcrm_318358000000245015,,Kerry Penn,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-20 13:24:54,2021-04-20 13:24:54,EUR,1.000000000,2021-05-11 18:20:25,,,,,,,,,,,,,0,,0,0,0,0,0,0,,,,,2021-05-11 16:20:25,,,,,,,,,false,,,Available
zcrm_318358000001445008,zcrm_318358000000245015,,DVAG Unternehmensgruppe,,,,https://www.dvag-unternehmensgruppe.com,,,,Financial Services,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-28 14:28:32,2022-07-28 09:57:37,EUR,1.000000000,2022-08-24 16:21:57,"1 Fritz-Bell-Strasse Ober-Morlen, Hesse, Germany",,Ober-morlen,,Hesse,,,,Germany,,,,0,,0,0,0,0,0,0,,,2022-07-28 09:57:37,2022-07-27 17:15:28,2022-08-24 16:21:57,2022-07-27 20:34:10,,,,,,,,false,2022-07-28 07:57:37,,Available
zcrm_318358000001446001,zcrm_318358000000245015,,TeleSon,,,zcrm_318358000001445008,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-28 14:32:51,2023-04-16 17:45:45,EUR,1.000000000,2023-04-16 17:45:45,,,,,,,,,,,,,0,,0,0,0,0,0,0,,,2021-04-30 14:58:28,2023-04-15 17:15:28,2021-04-30 12:29:03,2023-04-16 17:45:45,German language only,,,,,,,false,,,Available
zcrm_318358000001562033,zcrm_318358000000245015,,Estate Connect,+4922184612230,,,www.estateconnect.de,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-05-10 12:02:47,2022-09-02 17:45:26,EUR,1.000000000,2022-03-23 16:39:45,,,,,,,,,,,,,0,,0,0,0,0,0,0,,,,2022-03-23 16:39:45,2021-05-19 18:41:26,2022-09-02 17:45:26,,,,,,,,false,,,Available
zcrm_318358000001962001,zcrm_318358000000245015,,Deutsche Vermögensberatung,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-07-11 19:12:41,2022-02-07 14:28:20,EUR,1.000000000,2022-02-07 14:28:20,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,2022-02-07 14:28:20,2022-02-06 17:15:24,2021-07-11 19:12:41,2022-02-07 13:33:34,,,,,,,,false,,,Available
zcrm_318358000002048208,zcrm_318358000000245015,,SnapCube,+4922116535560,,,www.thesnapcube.com,,,,,0,0.0,0,zcrm_318358000000245015,zcrm_318358000000245015,2017-02-03 19:43:44,2019-09-18 08:26:58,EUR,1.000000000,2024-11-24 17:15:28,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2024-11-24 17:15:28,2022-09-04 12:32:08,,,,,,,id:mlHw_Uy1-9cAAAAAAACryw,,false,,,Available
zcrm_318358000002048209,zcrm_318358000000245015,,Benedict International Language & Business School,,,,,,,,,0,0.0,0,zcrm_318358000000245015,zcrm_318358000000245015,2017-02-03 20:10:57,2017-02-04 18:45:28,EUR,1.000000000,,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,id:mlHw_Uy1-9cAAAAAAACrzw,,false,,,Available
zcrm_318358000002048210,zcrm_318358000000245015,,Nila - Friends for Children in Asia,,,,,,,,,0,0.0,0,zcrm_318358000000245015,zcrm_318358000000245015,2017-02-03 20:15:41,2017-02-22 16:49:33,EUR,1.000000000,,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,id:mlHw_Uy1-9cAAAAAAACr0A,,false,,,Available
zcrm_318358000002048211,zcrm_318358000000245015,,Konnex Zeitarbeit,,,,,,,,,0,0.0,0,zcrm_318358000000245015,zcrm_318358000000245015,2017-02-03 21:23:16,2017-02-05 19:45:03,EUR,1.000000000,,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,id:mlHw_Uy1-9cAAAAAAACr1A,,false,,,Available
zcrm_318358000002048212,zcrm_318358000000245015,,Traja GmbH,,,,,,,,,0,0.0,0,zcrm_318358000000245015,zcrm_318358000000245015,2017-02-03 22:22:51,2017-03-22 14:12:33,EUR,1.000000000,,"c/o Startplatz
Im Mediapark 5",,Cologne,,NRW,,50670,,Germany,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,id:mlHw_Uy1-9cAAAAAAACr2A,,false,,,Available
zcrm_318358000002048213,zcrm_318358000000245015,,Alex Ehlenz,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2017-02-04 19:36:36,2018-05-13 14:12:51,EUR,1.000000000,,,,,,,,,,,,From WSE,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,,,false,,,Available
zcrm_318358000002048214,zcrm_318358000000245015,,Strabag Revision,,,,,,,,Large Enterprise,,,,zcrm_318358000000245015,zcrm_318358000000245015,2017-02-06 14:17:11,2018-05-13 14:12:51,EUR,1.000000000,,Siegburger Str. 241,Siegburgerstr. 241,Cologne,Cologne,NRW,NRW,50679,50679,Germany,Germany,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,id:mlHw_Uy1-9cAAAAAAACr2w,,false,,,Available
zcrm_318358000002048215,zcrm_318358000000245015,,STARTPLATZ,,,,www.startplatz.de,,Customer,Private,Small/Medium Enterprise,,,,zcrm_318358000000245015,zcrm_318358000000245015,2017-02-06 14:19:15,2017-02-06 14:19:16,EUR,1.000000000,,Im Mediapark 5,,KÃ¶ln,,NRW,,50670,,Deutchland,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,id:mlHw_Uy1-9cAAAAAAACr3g,,false,,,Available
zcrm_318358000002048216,zcrm_318358000000245015,,Institut fÃ¼r angewandte Logistik (IAL),,,,,,,,,0,0.0,0,zcrm_318358000000245015,zcrm_318358000000245015,2017-02-07 16:15:45,2017-02-09 16:43:08,EUR,1.000000000,,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,id:mlHw_Uy1-9cAAAAAAACr3w,,false,,,Available
zcrm_318358000002048217,zcrm_318358000000245015,,MR Education,,,,,,,,,0,0.0,0,zcrm_318358000000245015,zcrm_318358000000245015,2017-02-09 16:43:57,2017-02-09 21:38:19,EUR,1.000000000,,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,id:mlHw_Uy1-9cAAAAAAACr5A,,false,,,Available
zcrm_318358000002048218,zcrm_318358000000245015,,Cannapreneur,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2017-03-22 12:49:18,2017-03-23 18:43:45,EUR,1.000000000,,Im Mediapark 5,"c/o Startplatz
Im Mediapark 5",Cologne,Cologne,NRW,NRW,50670,50670,Germany,Germany,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,,,false,,,Available
zcrm_318358000002048219,zcrm_318358000000245015,,Wifa-Gruppe GmbH,,,,,,,,,,,0,zcrm_318358000000245015,zcrm_318358000000245015,2017-03-22 15:38:56,2018-05-13 14:12:51,EUR,1.000000000,,DrachenfelsstraÃe 4-7,PÃ¼tzstraÃe 38,Bad Honnef-RhÃ¶ndorf,Bonn-Kessenich,NRW,NRW,53604,53129,Germany,Germany,Manager of the WIFA area. Basically the guy who pays my invoices.,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,id:mlHw_Uy1-9cAAAAAAACsbw,,false,,,Available
zcrm_318358000002048220,zcrm_318358000000245015,,Cannamedical Pharma GmbH,,,,,,,,,0,0.0,0,zcrm_318358000000245015,zcrm_318358000000245015,2017-03-23 09:42:15,2017-03-24 12:14:13,EUR,1.000000000,,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,id:mlHw_Uy1-9cAAAAAAACscQ,,false,,,Available
zcrm_318358000002048221,zcrm_318358000000245015,,Allround Team,,,,www.allround-team.com,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2017-03-24 12:22:29,2018-05-13 14:12:51,EUR,1.000000000,,Mozartstr. 9,,Cologne,,NRW,,50674,,Germany,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,,,false,,,Available
zcrm_318358000002048222,zcrm_318358000000245015,,Cittadino GmbH,,,,www.cittadino.de,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2017-03-28 17:55:17,2018-05-13 14:12:51,EUR,1.000000000,,Hammer Dorfstr. 39,Kaiserswerther Str. 450,DÃ¼sseldorf,DÃ¼sseldorf,NRW,NRW,40221,40474,Germany,Germany,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,,,false,,,Available
zcrm_318358000002048223,zcrm_318358000000245015,,Carl Duisberg Centren,,,,www.carl-duisberg-firmentraining.de,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2017-06-20 15:08:38,2020-01-03 05:00:09,EUR,1.000000000,,Hansaring 49-51,,Cologne,,NRW,,50670,,Germany,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,,,false,,,Available
zcrm_318358000002048224,zcrm_318358000000245015,,AG Sprachendienste,,+49221 2 82 58 68,,http://www.ag-sprachendienst.de/,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2017-07-01 14:02:15,2018-05-13 14:12:51,EUR,1.000000000,,Weyertal 47,,Cologne,,NRW,,50937,,Germany,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,,,false,,,Available
zcrm_318358000002048225,zcrm_318358000000245015,,Stadtholz,,,,http://www.stadtholz.com/index.php/impressum,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2017-07-23 14:30:54,2018-05-13 14:12:51,EUR,1.000000000,,Urnenweg 20,,Bad Zwischenahn,,Niedersachsen,,26160,,Germany,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,,,false,,,Available
zcrm_318358000002048226,zcrm_318358000000245015,,Sahin,,,,www.dr-sahin.de,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2017-08-30 08:00:46,2018-05-13 14:12:51,EUR,1.000000000,,Neumarkt 1c,Neumarkt 1c,KÃ¶ln,KÃ¶ln,NRW,NRW,50667,50667,Germany,Germany,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,,,false,,,Available
zcrm_318358000002048227,zcrm_318358000000245015,,Logan Williams,,,,www.loganwilliams.com,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2020-02-04 14:56:25,2020-02-06 05:01:24,EUR,1.000000000,,Hahnenstr. 8,,Cologne,,,,50667,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,id:mlHw_Uy1-9cAAAAAAADrHg,,false,,,Available
zcrm_318358000002048228,zcrm_318358000000245015,,BUSINESS ACADEMY SOUTHWEST,,,,,,,,,0,0.0,,zcrm_318358000000245015,zcrm_318358000000245015,2019-12-01 20:15:03,2019-12-01 20:15:03,EUR,1.000000000,,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,,,false,,,Available
zcrm_318358000002048229,zcrm_318358000000245015,,DR-WALTER,,,,,,,,,0,0.0,,zcrm_318358000000245015,zcrm_318358000000245015,2019-12-05 20:24:05,2019-12-05 20:24:05,EUR,1.000000000,2024-11-24 17:15:28,Eisenerzstr. 34,Eisenerzstr. 34,Neunkirchen-Seelscheid,Neunkirchen-Seelscheid,NRW,NRW,53819,53819,Germany,Germany,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2024-11-24 17:15:28,2022-09-04 12:33:00,,,,,,,,,false,,,Available
zcrm_318358000002048230,zcrm_318358000000245015,,"New York , . Bogotd-Villavicencio-Pereiro",,,,,,,,,0,0.0,,zcrm_318358000000245015,zcrm_318358000000245015,2019-12-06 16:32:52,2019-12-06 16:32:52,EUR,1.000000000,,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,,,false,,,Available
zcrm_318358000002048231,zcrm_318358000000245015,,MASTERMIND MOVEMENT,,,,,,,,,0,0.0,,zcrm_318358000000245015,zcrm_318358000000245015,2019-12-17 11:37:23,2019-12-17 11:37:23,EUR,1.000000000,,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,,,false,,,Available
zcrm_318358000002048232,zcrm_318358000000245015,,"AIESEC - Global Vice President, People Operations",,,,,,,,,0,0.0,,zcrm_318358000000245015,zcrm_318358000000245015,2020-02-04 22:28:12,2020-02-04 22:28:12,EUR,1.000000000,,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,,,false,,,Available
zcrm_318358000002048233,zcrm_318358000000245015,,expatrio,,,,,,,,,0,0.0,,zcrm_318358000000245015,zcrm_318358000000245015,2020-02-04 22:28:12,2020-02-04 22:28:12,EUR,1.000000000,2024-11-24 17:15:26,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2024-11-24 17:15:26,2022-09-04 12:33:00,,,,,,,,,false,,,Available
zcrm_318358000002048234,zcrm_318358000000245015,,AIESEC INTERNATIONAL,,,,,,,,,0,0.0,,zcrm_318358000000245015,zcrm_318358000000245015,2020-02-04 22:28:12,2020-02-04 22:28:12,EUR,1.000000000,,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,,,false,,,Available
zcrm_318358000002048235,zcrm_318358000000245015,,FONCIA IMMONOVA,,,,,,,,,0,0.0,,zcrm_318358000000245015,zcrm_318358000000245015,2020-05-31 14:40:39,2020-05-31 14:40:39,EUR,1.000000000,,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,,,false,,,Available
zcrm_318358000002048236,zcrm_318358000000245015,,UNIVERSITY OF WEST BOHEMIA,,,,,,,,,0,0.0,,zcrm_318358000000245015,zcrm_318358000000245015,2020-06-12 14:49:53,2020-06-12 14:49:53,EUR,1.000000000,,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,,,false,,,Available
zcrm_318358000002048237,zcrm_318358000000245015,,Studymir,,,,,,,,,0,0.0,,zcrm_318358000000245015,zcrm_318358000000245015,2020-07-13 09:50:14,2020-07-13 09:50:14,EUR,1.000000000,2022-03-23 16:39:48,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2022-03-23 16:39:48,2021-07-23 16:06:48,,,,,,,,,false,,,Available
zcrm_318358000002048238,zcrm_318358000000245015,,Africa & Habesha Shop,,,,,,,,,0,0.0,,zcrm_318358000000245015,zcrm_318358000000245015,2020-07-20 16:19:09,2020-07-20 16:19:09,EUR,1.000000000,,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,,,false,,,Available
zcrm_318358000002048239,zcrm_318358000000245015,,AUTO-DRESS UG,,,,,,,,,0,0.0,,zcrm_318358000000245015,zcrm_318358000000245015,2020-07-20 16:22:01,2020-07-20 16:22:01,EUR,1.000000000,,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,,,false,,,Available
zcrm_318358000002048240,zcrm_318358000000245015,,getgrover.com,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-23 14:43:34,2021-01-23 14:43:36,EUR,1.000000000,,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,,,,,,,,,,,false,,,Available
zcrm_318358000002094017,zcrm_318358000000245015,,Maiwerk Finanzberatung,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-07-27 17:15:43,2023-06-11 17:45:40,EUR,1.000000000,2023-06-11 17:45:40,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2023-06-10 17:15:26,2022-09-04 12:33:00,2023-06-11 17:45:40,,,,,,,,false,,,Available
zcrm_318358000002094028,zcrm_318358000000245015,,homelanguageinternational,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-07-27 17:15:43,2024-11-10 16:45:40,EUR,1.000000000,2024-11-24 17:15:28,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2024-11-24 17:15:28,2022-09-04 12:32:52,2024-11-10 16:45:40,,,,,,,,false,,,Available
zcrm_318358000002094039,zcrm_318358000000245015,,WSE,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-07-27 17:15:43,2024-11-10 16:45:40,EUR,1.000000000,2024-11-24 17:15:27,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2024-11-24 17:15:27,2022-09-04 12:33:00,2024-11-10 16:45:40,,,,,,,,false,,,Available
zcrm_318358000002094050,zcrm_318358000000245015,,octopuls.de,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-07-27 17:15:43,2024-11-10 16:45:40,EUR,1.000000000,2024-11-24 17:15:28,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2024-11-24 17:15:28,,2024-11-10 16:45:40,,,,,,,,false,,,Available
zcrm_318358000002094061,zcrm_318358000000245015,,'Land NRW',,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-07-27 17:15:43,2024-11-10 16:45:40,EUR,1.000000000,2024-11-24 17:15:28,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2024-11-24 17:15:28,2022-09-04 12:33:00,2024-11-10 16:45:40,,,,,,,,false,,,Available
zcrm_318358000002094072,zcrm_318358000000245015,,Ford,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-07-27 17:15:43,2024-11-10 16:45:40,EUR,1.000000000,2024-11-24 17:15:28,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2024-11-24 17:15:28,2022-09-04 12:33:00,2024-11-10 16:45:40,,,,,,,,false,,,Available
zcrm_318358000002094083,zcrm_318358000000245015,,Sünner Kölsch,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-07-27 17:15:43,2024-11-10 16:45:40,EUR,1.000000000,2024-11-24 17:15:28,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2024-11-24 17:15:28,2022-09-04 12:32:08,2024-11-10 16:45:40,,,,,,,,false,,,Available
zcrm_318358000002094094,zcrm_318358000000245015,,Universal Exports,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-07-27 17:15:43,2024-11-10 16:45:40,EUR,1.000000000,2024-11-24 17:15:28,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2024-11-24 17:15:28,2022-09-04 12:32:08,2024-11-10 16:45:40,,,,,,,,false,,,Available
zcrm_318358000002094105,zcrm_318358000000245015,,Jazzrausch Big Band,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-07-27 17:15:43,2024-11-10 16:45:40,EUR,1.000000000,2024-11-24 17:15:28,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2024-11-24 17:15:28,2022-09-04 12:33:00,2024-11-10 16:45:40,,,,,,,,false,,,Available
zcrm_318358000002094116,zcrm_318358000000245015,,DVB,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-07-27 17:15:43,2022-08-06 14:05:00,EUR,1.000000000,2022-08-06 14:05:00,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2022-08-05 17:15:25,,2022-08-06 14:05:00,,,,,,,,false,,,Available
zcrm_318358000002094127,zcrm_318358000000245015,,Wall Street English,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-07-27 17:15:44,2024-11-10 16:45:40,EUR,1.000000000,2024-11-24 17:15:28,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2024-11-24 17:15:28,2022-09-04 12:33:00,2024-11-10 16:45:40,,,,,,,,false,,,Available
zcrm_318358000002094138,zcrm_318358000000245015,,FH Gummersbach,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-07-27 17:15:44,2024-11-10 16:45:40,EUR,1.000000000,2024-11-24 17:15:28,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2024-11-24 17:15:28,2022-09-04 12:33:00,2024-11-10 16:45:40,,,,,,,,false,,,Available
zcrm_318358000002094149,zcrm_318358000000245015,,HopSpot,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-07-27 17:15:44,2024-11-10 16:45:40,EUR,1.000000000,2024-11-24 17:15:28,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2024-11-24 17:15:28,2022-09-04 12:33:00,2024-11-10 16:45:40,,,,,,,,false,,,Available
zcrm_318358000002094160,zcrm_318358000000245015,,Halfen,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-07-27 17:15:44,2024-11-10 16:45:40,EUR,1.000000000,2024-11-24 17:15:28,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2024-11-24 17:15:28,2022-09-04 12:33:00,2024-11-10 16:45:40,,,,,,,,false,,,Available
zcrm_318358000002094171,zcrm_318358000000245015,,Bike Pedicabs,,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-07-27 17:15:44,2024-11-10 16:45:40,EUR,1.000000000,2024-11-24 17:15:28,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2024-11-24 17:15:28,2022-09-04 12:33:00,2024-11-10 16:45:40,,,,,,,,false,,,Available
zcrm_318358000002094182,zcrm_318358000000245015,,'United Parcel Service',,,,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-07-27 17:15:44,2024-11-10 16:45:40,EUR,1.000000000,2024-11-24 17:15:27,,,,,,,,,,,,zcrm_318358000000032035,0,,0,0,0,0,0,0,,,,2024-11-24 17:15:27,2022-09-04 12:33:00,2024-11-10 16:45:40,,,,,,,,false,,,Available
